Azure Dynamics,\N,0.324000000000000000
BMW,\N,0.171000000000000000
BYD,\N,0.324000000000000000
CODA Automotive,\N,0.276000000000000000
Chevrolet,\N,0.320400000000000030
Dodge,\N,0.576000000000000100
Fiat,\N,0.175500000000000020
Ford,\N,0.319384615384615398
GMC,\N,0.393000000000000010
Honda,\N,0.300000000000000035
Kia,\N,0.192000000000000000
MINI,\N,0.204000000000000010
Mazda,\N,18.311666666666667000
Mercedes-Benz,\N,0.240000000000000020
Mitsubishi,\N,0.180000000000000020
Nissan,\N,0.201333333333333349
Plymouth,\N,0.576000000000000100
Scion,\N,0.168000000000000000
Subaru,\N,14.032309782608695500
Tesla,\N,0.215357142857142868
Toyota,\N,0.267428571428571437
Volkswagen,\N,0.174000000000000020
make,\N,\N
smart,\N,0.200400000000000000
BMW,2,1.563190372247857500
Mazda,2,18.662937635322447745
0,3,7.356924277610837000
13,3,9.702805194805194500
Chevrolet,3,8.831162127410359656
Daihatsu,3,9.694411764705883000
Ford,3,9.437048214285714600
Geo,3,8.858587536765677676
Honda,3,6.641645644098976429
MINI,3,10.255003207478005667
Mitsubishi,3,8.778804437679437625
Pontiac,3,9.040484784857146250
Subaru,3,11.406234644452228296
Suzuki,3,9.073521043678643450
smart,3,9.170366402116402722
0,4,12.436332861392545964
10,4,10.832440560679801200
12,4,12.016139448051948000
13,4,11.795561163581617733
14,4,13.184400000000000000
15,4,11.683241413043478200
16,4,11.652090280409247667
18,4,14.261696753246754250
28,4,13.219308528428094000
30,4,14.083336363636365000
9,4,5.846634032142858000
AM General,4,19.792757352941177333
Acura,4,13.748738042495764191
Alfa Romeo,4,14.985922044707212176
American Motors Corporation,4,16.742095238095238500
Audi,4,14.060178812450068120
BMW,4,13.365165462435168966
Bertone,4,14.982272727272730000
Bill Dovell Motor Car Company,4,18.850245098039216500
Buick,4,13.867641454349766377
CX Automotive,4,19.030066515092880500
Cadillac,4,12.866168143419432015
Chevrolet,4,13.832868969615406735
Chrysler,4,15.747930927172270790
Consulier Industries Inc,4,15.695714285714287000
Dacia,4,14.330869565217391000
Daewoo,4,14.349737850145756076
Daihatsu,4,12.258798282435579917
Dodge,4,15.020545836584680187
Eagle,4,14.966794759970965021
Fiat,4,11.367858600154831176
Fisker,4,6.359254842857142000
Ford,4,13.554805462646519979
GMC,4,16.041873454272065189
Geo,4,13.814446426230698991
Grumman Allied Industries,4,19.388823529411766000
Grumman Olson,4,13.377879962779157500
Honda,4,12.251891194619276486
Hyundai,4,13.214750346721540723
Import Foreign Auto Sales Inc,4,17.347894736842107000
Import Trade Services,4,20.600625000000000000
Infiniti,4,13.934720537176709194
Isuzu,4,16.275311936479952421
J.K. Motors,4,19.388823529411766000
Jaguar,4,14.181589673913043250
Jeep,4,16.021319059413284805
Kia,4,13.501451274558885420
Land Rover,4,14.992043774703558100
Lexus,4,10.442477417952418000
Lincoln,4,12.830383542292947867
London Coach Co Inc,4,20.600625000000000000
London Taxi,4,17.372045454545457000
Lotus,4,16.671292611080907800
MINI,4,11.670630277363511316
Mahindra,4,19.109250000000003000
Maserati,4,17.347894736842107000
Mazda,4,14.060512862665259623
Mcevoy Motors,4,16.769631578947369000
Mercedes-Benz,4,14.265669446354340380
Mercury,4,13.647016367093665705
Merkur,4,17.979448813209495300
Mitsubishi,4,15.004791188498402088
Nissan,4,13.976886482485029899
Oldsmobile,4,14.022647007891113973
Panther Car Company Limited,4,16.284303571428571750
Peugeot,4,17.337317495971996870
Pininfarina,4,16.165083732057418500
Plymouth,4,14.698470919934463105
Pontiac,4,13.635231321910321396
Porsche,4,17.641734992405775698
Quantum Technologies,4,15.695714285714287000
Ram,4,13.733750000000000000
Red Shift Ltd.,4,14.330869565217391000
Renault,4,13.650941481797089071
Saab,4,16.160611675988825535
Saturn,4,13.120440339376652656
Scion,4,12.316867809683513458
Subaru,4,14.944579398509181775
Suzuki,4,13.962277980188708906
Toyota,4,14.088820184698792088
Volga Associated Automobile,4,17.347894736842107000
Volkswagen,4,13.620492799512166397
Volvo,4,16.358769013896750800
Wallace Environmental,4,17.347894736842107000
Yugo,4,13.206217830267558750
Acura,5,16.480500000000000000
Audi,5,18.116541949129924940
Chevrolet,5,18.406398765756303536
GMC,5,18.423608978788884964
Hummer,5,21.189214285714285714
Isuzu,5,18.773305322128852286
Mercedes-Benz,5,16.453026152693462308
Volkswagen,5,15.115333571818758583
Volvo,5,15.822934346566448139
0,6,16.295126075439739313
10,6,16.008627249943041333
12,6,14.758314116318465000
13,6,14.435261097598054538
16,6,14.745218846533876375
18,6,16.009628571428572200
19,6,14.982272727272730000
28,6,16.480500000000000000
9,6,10.274846346739130333
AM General,6,25.354615384615386000
ASC Incorporated,6,20.600625000000000000
Acura,6,16.976901519068328029
Alfa Romeo,6,18.139804504452854037
American Motors Corporation,6,19.296698271413829526
Aston Martin,6,21.974000000000000000
Audi,6,16.950517719349776166
BMW,6,16.526185967599355346
Bitter Gmbh and Co. Kg,6,22.414687362637362200
Buick,6,17.123026123038612888
CX Automotive,6,21.668805555555555556
Cadillac,6,16.844968567177481035
Chevrolet,6,19.003028128023669730
Chrysler,6,16.844594459913042737
Daewoo,6,16.480500000000000000
Dodge,6,19.357045131938744989
Eagle,6,17.368719094611529950
Environmental Rsch and Devp Corp,6,20.600625000000000000
Ford,6,19.448285185126162684
GMC,6,20.288496126368292486
Genesis,6,16.165083732057418500
Goldacre,6,18.311666666666667000
Honda,6,17.112288614065036323
Hyundai,6,16.806983403056985441
Import Trade Services,6,21.828913565426170143
Infiniti,6,16.576766741710694168
Isuzu,6,20.893375301897493917
J.K. Motors,6,22.485512117346937500
JBA Motorcars, Inc.,6,21.974000000000000000
Jaguar,6,17.515254184079010009
Jeep,6,19.836626559991094904
Kia,6,17.471149050236393219
Lambda Control Systems,6,19.388823529411766000
Land Rover,6,18.885408441839894800
Lexus,6,15.874842913992362955
Lincoln,6,17.114068367639161276
Lotus,6,15.471646195236989118
Maserati,6,22.156141871554867408
Mazda,6,18.476917420885010514
Mercedes-Benz,6,17.119379143134848806
Mercury,6,17.526910012674336640
Merkur,6,18.850245098039216500
Mitsubishi,6,18.580720751091754656
Nissan,6,18.635025510018805823
Oldsmobile,6,17.272958820997390914
PAS Inc - GMC,6,21.974000000000000000
PAS, Inc,6,23.543571428571425000
Peugeot,6,18.311666666666667000
Plymouth,6,17.836387875235234397
Pontiac,6,16.940995051861019600
Porsche,6,16.815776801566340623
Ram,6,16.510406215390255433
Ruf Automobile Gmbh,6,25.354615384615386000
Saab,6,17.733054316043733609
Saturn,6,16.997239560688710367
Sterling,6,18.160486756105951917
Subaru,6,16.930075379882670492
Suzuki,6,18.609322590390385157
TVR Engineering Ltd,6,18.311666666666667000
Toyota,6,18.594272900767316871
Vixen Motor Company,6,23.886562500000000000
Volkswagen,6,17.286216074398395274
Volvo,6,17.227690573308936146
Wallace Environmental,6,22.584388888888888889
0,8,19.740002841449318290
18,8,18.327864514226744000
Alfa Romeo,8,25.354615384615386000
Aston Martin,8,27.586958631315774413
Audi,8,19.497421908704900346
Aurora Cars Ltd,8,21.974000000000000000
Autokraft Limited,8,19.994724264705883000
Avanti Motor Corporation,8,19.994724264705883000
BMW,8,19.339232265007085851
BMW Alpina,8,21.058416666666666667
Bentley,8,26.672655161511412000
Buick,8,19.112020205906925333
CCC Engineering,8,21.974000000000000000
Cadillac,8,20.357422744571553657
Chevrolet,8,22.242739522581609820
Chrysler,8,19.867511169331280630
Dabryan Coach Builders Inc,8,20.250549019607844000
Dodge,8,25.579801119236468132
E. P. Dutton, Inc.,8,19.388823529411766000
Evans Automobiles,8,17.347894736842107000
Excalibur Autos,8,23.543571428571425000
Federal Coach,8,21.523077956182472571
Ferrari,8,25.785097658294087976
Ford,8,23.154621449549585079
GMC,8,22.956137952283415857
General Motors,8,18.311666666666667000
Hummer,8,23.543571428571425000
Hyundai,8,17.902063596491228625
Infiniti,8,20.282198247656703458
Isis Imports Ltd,8,16.480500000000000000
Isuzu,8,21.865001984126983333
J.K. Motors,8,21.974000000000000000
Jaguar,8,18.387918034055728480
Jeep,8,23.792979283181804714
Kenyon Corporation Of America,8,23.543571428571425000
Kia,8,18.715600490196079125
Laforza Automobile Inc,8,29.964545454545460000
Land Rover,8,24.483011583777046732
Lexus,8,18.818181666458756904
Lincoln,8,20.494922729606047393
Lotus,8,20.365705592105263375
Maserati,8,25.145896773891742526
McLaren Automotive,8,16.857269117743222091
Mercedes-Benz,8,21.022386784402210124
Mercury,8,19.638419572538156789
Mitsubishi,8,21.974000000000000000
Mobility Ventures LLC,8,11.058538461538461535
Morgan,8,19.388823529411766000
Nissan,8,23.106680412371131443
Oldsmobile,8,19.027098252597439509
Panos,8,21.974000000000000000
Panoz Auto-Development,8,14.982272727272730000
Plymouth,8,23.075258083147788944
Pontiac,8,18.811575347533109260
Porsche,8,20.594601390133102484
Qvale,8,15.695714285714287000
Ram,8,20.367241013071896000
Rolls-Royce,8,33.069045236013987981
Roush Performance,8,23.140360914058195679
S and S Coach Company  E.p. Dutton,8,32.961000000000000000
Saab,8,22.155104395604396000
Saleen,8,22.140012362637362200
Saleen Performance,8,24.267989010989009400
Shelby,8,19.388823529411766000
Spyker,8,21.576280542986425538
Superior Coaches Div E.p. Dutton,8,32.961000000000000000
Tecstar, LP,8,25.354615384615386000
Texas Coach Company,8,27.467500000000000000
Toyota,8,22.211927583420635421
VPG,8,13.241630769230769228
Vector,8,41.201250000000000000
Volkswagen,8,20.242652568922305000
Volvo,8,20.517390151515151636
Wallace Environmental,8,25.354615384615386000
Audi,10,21.747302445978390429
BMW,10,25.354615384615386000
Dodge,10,25.118487952152014563
Ford,10,28.716022727272730000
Lamborghini,10,23.882174594359888378
Lexus,10,27.467500000000000000
Porsche,10,29.964545454545460000
SRT,10,21.974000000000000000
Volkswagen,10,22.169227941176472750
0,12,25.354615384615386000
Aston Martin,12,24.963523460955199687
Audi,12,21.044952205882353200
BMW,12,23.418376155094905386
Bentley,12,24.324045133437989857
Ferrari,12,29.252110031635034675
J.K. Motors,12,29.964545454545460000
Jaguar,12,25.330468131868132040
Lamborghini,12,32.076450067789354500
Maybach,12,27.058554590570719871
Mercedes-Benz,12,23.740395083576907609
Pagani,12,25.354615384615386000
Rolls-Royce,12,23.395125202666184230
Vector,12,36.623333333333335000
Volkswagen,12,25.354615384615386000
Wallace Environmental,12,29.146831668331670286
Bugatti,16,32.961000000000000000
